136 5
k mu power error
2.92505e-01 4.98233e-01 3.35197e+03 2.37785e+01
2.97511e-01 5.01200e-01 3.28039e+03 2.32639e+01
3.02528e-01 4.98963e-01 3.18755e+03 2.25909e+01
3.07435e-01 4.99667e-01 3.09228e+03 2.17118e+01
3.12547e-01 5.00697e-01 2.96269e+03 2.07468e+01
3.17515e-01 4.98996e-01 2.90627e+03 2.03850e+01
3.22506e-01 5.01020e-01 2.83349e+03 1.97457e+01
3.27578e-01 4.98629e-01 2.70438e+03 1.87317e+01
3.32557e-01 5.01367e-01 2.62489e+03 1.86899e+01
3.37494e-01 4.99666e-01 2.56949e+03 1.78139e+01
3.42512e-01 5.00508e-01 2.54660e+03 1.74686e+01
3.47559e-01 4.99225e-01 2.46427e+03 1.70891e+01
3.52470e-01 4.99696e-01 2.40382e+03 1.65822e+01
3.57521e-01 5.00715e-01 2.32987e+03 1.61268e+01
3.62517e-01 4.98362e-01 2.21728e+03 1.53354e+01
3.67505e-01 5.02381e-01 2.16056e+03 1.52623e+01
3.72531e-01 4.98310e-01 2.13291e+03 1.46103e+01
3.77526e-01 5.00642e-01 2.05560e+03 1.44633e+01
3.82545e-01 5.00154e-01 2.00923e+03 1.39001e+01
3.87543e-01 5.00795e-01 1.98757e+03 1.37452e+01
3.92558e-01 4.99574e-01 1.91706e+03 1.34182e+01
3.97507e-01 4.99237e-01 1.86393e+03 1.29566e+01
4.02536e-01 5.01307e-01 1.83142e+03 1.28690e+01
4.07492e-01 4.96995e-01 1.77748e+03 1.23721e+01
4.12491e-01 5.03048e-01 1.71025e+03 1.21171e+01
4.17533e-01 4.99469e-01 1.69432e+03 1.18391e+01
4.22481e-01 5.00023e-01 1.65122e+03 1.17273e+01
4.27519e-01 5.00551e-01 1.61023e+03 1.12988e+01
4.32523e-01 5.00644e-01 1.58102e+03 1.11652e+01
4.37532e-01 4.99283e-01 1.52708e+03 1.09355e+01
4.42498e-01 4.99827e-01 1.50293e+03 1.06588e+01
4.47516e-01 5.01101e-01 1.45807e+03 1.05287e+01
4.52481e-01 4.97860e-01 1.42131e+03 1.02003e+01
4.57481e-01 5.01852e-01 1.37936e+03 1.00536e+01
4.62524e-01 4.99125e-01 1.35112e+03 9.77905e+00
4.67460e-01 5.00699e-01 1.32237e+03 9.75216e+00
4.72501e-01 5.00316e-01 1.27818e+03 9.35968e+00
